# lat,lon,elevation,time
5.049923499999999876e+01,1.637134800000000112e+01,4.040000000000000000e+02,1.662883302000000000e+09
5.049922899999999970e+01,1.637131000000000114e+01,4.041000000000000227e+02,1.662883303000000000e+09
5.049922800000000223e+01,1.637126200000000154e+01,4.041000000000000227e+02,1.662883304000000000e+09
5.049921899999999653e+01,1.637120699999999829e+01,4.041999999999999886e+02,1.662883305000000000e+09
5.049919799999999981e+01,1.637115599999999915e+01,4.041999999999999886e+02,1.662883306000000000e+09
5.049918799999999663e+01,1.637111700000000170e+01,4.041999999999999886e+02,1.662883307000000000e+09
5.049917899999999804e+01,1.637107999999999919e+01,4.043000000000000114e+02,1.662883308000000000e+09
5.049916699999999992e+01,1.637103300000000061e+01,4.043000000000000114e+02,1.662883309000000000e+09
5.049916999999999945e+01,1.637098299999999895e+01,4.043000000000000114e+02,1.662883310000000000e+09
5.049916499999999786e+01,1.637093799999999888e+01,4.043999999999999773e+02,1.662883311000000000e+09
5.049915200000000226e+01,1.637089100000000030e+01,4.043999999999999773e+02,1.662883312000000000e+09
5.049914100000000161e+01,1.637084099999999864e+01,4.045000000000000000e+02,1.662883313000000000e+09
5.049912900000000349e+01,1.637079100000000054e+01,4.045000000000000000e+02,1.662883314000000000e+09
5.049911699999999826e+01,1.637074300000000093e+01,4.046000000000000227e+02,1.662883315000000000e+09
5.049910700000000219e+01,1.637069899999999834e+01,4.046000000000000227e+02,1.662883316000000000e+09
5.049909699999999901e+01,1.637061999999999884e+01,4.046999999999999886e+02,1.662883317000000000e+09
5.049909699999999901e+01,1.637061999999999884e+01,4.046999999999999886e+02,1.662883318000000000e+09
5.049909600000000154e+01,1.637057899999999933e+01,4.046999999999999886e+02,1.662883319000000000e+09
5.049909600000000154e+01,1.637053500000000028e+01,4.048000000000000114e+02,1.662883320000000000e+09
5.049909199999999743e+01,1.637049199999999871e+01,4.048000000000000114e+02,1.662883321000000000e+09
5.049908800000000042e+01,1.637044799999999967e+01,4.048999999999999773e+02,1.662883322000000000e+09
5.049908700000000294e+01,1.637040800000000118e+01,4.050000000000000000e+02,1.662883323000000000e+09
5.049908599999999836e+01,1.637036600000000064e+01,4.050000000000000000e+02,1.662883324000000000e+09
5.049908500000000089e+01,1.637031899999999851e+01,4.051000000000000227e+02,1.662883325000000000e+09
5.049908500000000089e+01,1.637027000000000143e+01,4.051999999999999886e+02,1.662883326000000000e+09
5.049908200000000136e+01,1.637022899999999836e+01,4.051999999999999886e+02,1.662883327000000000e+09
5.049907999999999930e+01,1.637017099999999914e+01,4.053000000000000114e+02,1.662883328000000000e+09
5.049907900000000183e+01,1.637012700000000009e+01,4.053999999999999773e+02,1.662883329000000000e+09
5.049907900000000183e+01,1.637008399999999853e+01,4.053999999999999773e+02,1.662883330000000000e+09
5.049907699999999977e+01,1.637004299999999901e+01,4.055000000000000000e+02,1.662883331000000000e+09
5.049907300000000276e+01,1.637001100000000164e+01,4.056000000000000227e+02,1.662883332000000000e+09
5.049906800000000118e+01,1.636995900000000148e+01,4.056000000000000227e+02,1.662883333000000000e+09
5.049906599999999912e+01,1.636991799999999841e+01,4.056999999999999886e+02,1.662883334000000000e+09
5.049906800000000118e+01,1.636987500000000040e+01,4.058000000000000114e+02,1.662883335000000000e+09
5.049906699999999660e+01,1.636983700000000042e+01,4.058000000000000114e+02,1.662883336000000000e+09
5.049906299999999959e+01,1.636979099999999931e+01,4.058999999999999773e+02,1.662883337000000000e+09
5.049906000000000006e+01,1.636974700000000027e+01,4.060000000000000000e+02,1.662883338000000000e+09
5.049905600000000305e+01,1.636969600000000113e+01,4.061000000000000227e+02,1.662883339000000000e+09
5.049904800000000193e+01,1.636965299999999957e+01,4.061999999999999886e+02,1.662883340000000000e+09
5.049904200000000287e+01,1.636961499999999958e+01,4.061999999999999886e+02,1.662883341000000000e+09
5.049903299999999717e+01,1.636956400000000045e+01,4.063000000000000114e+02,1.662883342000000000e+09
5.049902699999999811e+01,1.636951900000000037e+01,4.063999999999999773e+02,1.662883343000000000e+09
5.049901899999999699e+01,1.636947100000000077e+01,4.063999999999999773e+02,1.662883344000000000e+09
5.049900999999999840e+01,1.636942300000000117e+01,4.065000000000000000e+02,1.662883345000000000e+09
5.049900300000000186e+01,1.636937500000000156e+01,4.065000000000000000e+02,1.662883346000000000e+09
5.049899700000000280e+01,1.636933399999999850e+01,4.066000000000000227e+02,1.662883347000000000e+09
5.049899200000000121e+01,1.636929800000000057e+01,4.066000000000000227e+02,1.662883348000000000e+09
5.049898799999999710e+01,1.636925799999999853e+01,4.066999999999999886e+02,1.662883349000000000e+09
5.049898300000000262e+01,1.636921800000000005e+01,4.066999999999999886e+02,1.662883350000000000e+09
5.049897699999999645e+01,1.636917400000000100e+01,4.066999999999999886e+02,1.662883351000000000e+09
5.049897099999999739e+01,1.636912999999999840e+01,4.068000000000000114e+02,1.662883352000000000e+09
5.049896199999999880e+01,1.636909100000000095e+01,4.068000000000000114e+02,1.662883353000000000e+09
5.049895099999999815e+01,1.636905099999999891e+01,4.068000000000000114e+02,1.662883354000000000e+09
5.049893999999999750e+01,1.636901200000000145e+01,4.068000000000000114e+02,1.662883355000000000e+09
5.049893099999999890e+01,1.636897300000000044e+01,4.068999999999999773e+02,1.662883356000000000e+09
5.049891800000000330e+01,1.636893099999999990e+01,4.068999999999999773e+02,1.662883357000000000e+09
5.049890599999999807e+01,1.636889000000000038e+01,4.068999999999999773e+02,1.662883358000000000e+09
5.049889499999999742e+01,1.636885099999999937e+01,4.070000000000000000e+02,1.662883359000000000e+09
5.049888399999999677e+01,1.636881100000000089e+01,4.070000000000000000e+02,1.662883360000000000e+09
5.049887400000000071e+01,1.636876900000000035e+01,4.070000000000000000e+02,1.662883361000000000e+09
5.049886099999999800e+01,1.636872599999999878e+01,4.071000000000000227e+02,1.662883362000000000e+09
5.049884600000000034e+01,1.636868799999999879e+01,4.071000000000000227e+02,1.662883363000000000e+09
5.049883100000000269e+01,1.636865500000000040e+01,4.071000000000000227e+02,1.662883364000000000e+09
5.049881500000000045e+01,1.636861899999999892e+01,4.071000000000000227e+02,1.662883365000000000e+09
5.049880000000000280e+01,1.636858799999999903e+01,4.071999999999999886e+02,1.662883366000000000e+09
5.049878900000000215e+01,1.636855500000000063e+01,4.071999999999999886e+02,1.662883367000000000e+09
5.049877500000000197e+01,1.636851700000000065e+01,4.071999999999999886e+02,1.662883368000000000e+09
5.049875800000000226e+01,1.636848300000000123e+01,4.071999999999999886e+02,1.662883369000000000e+09
5.049874299999999749e+01,1.636844699999999975e+01,4.071999999999999886e+02,1.662883370000000000e+09
5.049872599999999778e+01,1.636840899999999976e+01,4.073000000000000114e+02,1.662883371000000000e+09
5.049870599999999854e+01,1.636837299999999829e+01,4.073000000000000114e+02,1.662883372000000000e+09
5.049869000000000341e+01,1.636834100000000092e+01,4.073000000000000114e+02,1.662883373000000000e+09
5.049867400000000117e+01,1.636831000000000103e+01,4.073000000000000114e+02,1.662883374000000000e+09
5.049865799999999894e+01,1.636827699999999908e+01,4.073000000000000114e+02,1.662883375000000000e+09
5.049863700000000222e+01,1.636824299999999965e+01,4.073999999999999773e+02,1.662883376000000000e+09
5.049860999999999933e+01,1.636821000000000126e+01,4.073999999999999773e+02,1.662883377000000000e+09
5.049859000000000009e+01,1.636818600000000146e+01,4.075000000000000000e+02,1.662883378000000000e+09
5.049856299999999720e+01,1.636815400000000054e+01,4.075000000000000000e+02,1.662883379000000000e+09
5.049852599999999825e+01,1.636812099999999859e+01,4.076000000000000227e+02,1.662883380000000000e+09
5.049849799999999789e+01,1.636809900000000084e+01,4.076999999999999886e+02,1.662883381000000000e+09
5.049847499999999911e+01,1.636807800000000057e+01,4.076999999999999886e+02,1.662883382000000000e+09
5.049845599999999735e+01,1.636805400000000077e+01,4.076999999999999886e+02,1.662883383000000000e+09
5.049844000000000221e+01,1.636803099999999844e+01,4.078000000000000114e+02,1.662883384000000000e+09
5.049842600000000203e+01,1.636801099999999920e+01,4.078000000000000114e+02,1.662883385000000000e+09
5.049840499999999821e+01,1.636798699999999940e+01,4.078999999999999773e+02,1.662883386000000000e+09
5.049838100000000196e+01,1.636796299999999960e+01,4.078999999999999773e+02,1.662883387000000000e+09
5.049835699999999861e+01,1.636794199999999933e+01,4.078999999999999773e+02,1.662883388000000000e+09
5.049834100000000348e+01,1.636792300000000111e+01,4.080000000000000000e+02,1.662883389000000000e+09
5.049831600000000265e+01,1.636789599999999822e+01,4.080000000000000000e+02,1.662883390000000000e+09
5.049829100000000182e+01,1.636786599999999936e+01,4.081000000000000227e+02,1.662883391000000000e+09
5.049826800000000304e+01,1.636784000000000106e+01,4.081000000000000227e+02,1.662883392000000000e+09
5.049824499999999716e+01,1.636781399999999920e+01,4.081999999999999886e+02,1.662883393000000000e+09
5.049822199999999839e+01,1.636778899999999837e+01,4.083000000000000114e+02,1.662883394000000000e+09
5.049820199999999915e+01,1.636776199999999903e+01,4.083000000000000114e+02,1.662883395000000000e+09
5.049818100000000243e+01,1.636773099999999914e+01,4.083999999999999773e+02,1.662883396000000000e+09
5.049815799999999655e+01,1.636769900000000177e+01,4.085000000000000000e+02,1.662883397000000000e+09
5.049813900000000189e+01,1.636767000000000039e+01,4.085000000000000000e+02,1.662883398000000000e+09
5.049811199999999900e+01,1.636763099999999937e+01,4.086000000000000227e+02,1.662883399000000000e+09
5.049809900000000340e+01,1.636760599999999855e+01,4.086999999999999886e+02,1.662883400000000000e+09
5.049808000000000163e+01,1.636756600000000006e+01,4.086999999999999886e+02,1.662883401000000000e+09
5.049806099999999986e+01,1.636752999999999858e+01,4.088000000000000114e+02,1.662883402000000000e+09
5.049803599999999904e+01,1.636749500000000168e+01,4.088999999999999773e+02,1.662883403000000000e+09
5.049800700000000120e+01,1.636745900000000020e+01,4.090000000000000000e+02,1.662883404000000000e+09
5.049797999999999831e+01,1.636742299999999872e+01,4.090000000000000000e+02,1.662883405000000000e+09
5.049795199999999795e+01,1.636739100000000136e+01,4.091000000000000227e+02,1.662883406000000000e+09
5.049792699999999712e+01,1.636736099999999894e+01,4.091999999999999886e+02,1.662883407000000000e+09
5.049790899999999993e+01,1.636733600000000166e+01,4.091999999999999886e+02,1.662883408000000000e+09
5.049788000000000210e+01,1.636729800000000168e+01,4.093000000000000114e+02,1.662883409000000000e+09
5.049786100000000033e+01,1.636726099999999917e+01,4.093999999999999773e+02,1.662883410000000000e+09
5.049783399999999745e+01,1.636722999999999928e+01,4.095000000000000000e+02,1.662883411000000000e+09
5.049781699999999773e+01,1.636720700000000051e+01,4.095000000000000000e+02,1.662883412000000000e+09
5.049779600000000102e+01,1.636717200000000005e+01,4.096000000000000227e+02,1.662883413000000000e+09
5.049777300000000224e+01,1.636713100000000054e+01,4.096999999999999886e+02,1.662883414000000000e+09
5.049774699999999683e+01,1.636710199999999915e+01,4.098000000000000114e+02,1.662883415000000000e+09
5.049771899999999647e+01,1.636707399999999879e+01,4.098000000000000114e+02,1.662883416000000000e+09
5.049769599999999770e+01,1.636704599999999843e+01,4.098999999999999773e+02,1.662883417000000000e+09
5.049766699999999986e+01,1.636702500000000171e+01,4.100000000000000000e+02,1.662883418000000000e+09
5.049763999999999697e+01,1.636700700000000097e+01,4.101000000000000227e+02,1.662883419000000000e+09
5.049761500000000325e+01,1.636699000000000126e+01,4.101000000000000227e+02,1.662883420000000000e+09
5.049759399999999943e+01,1.636697600000000108e+01,4.101999999999999886e+02,1.662883421000000000e+09
5.049756699999999654e+01,1.636695999999999884e+01,4.103000000000000114e+02,1.662883422000000000e+09
5.049753299999999712e+01,1.636693999999999960e+01,4.103000000000000114e+02,1.662883423000000000e+09
5.049750999999999834e+01,1.636692199999999886e+01,4.103999999999999773e+02,1.662883424000000000e+09
5.049748499999999751e+01,1.636690099999999859e+01,4.103999999999999773e+02,1.662883425000000000e+09
5.049745999999999668e+01,1.636688300000000140e+01,4.105000000000000000e+02,1.662883426000000000e+09
5.049740400000000307e+01,1.636684599999999890e+01,4.106000000000000227e+02,1.662883427000000000e+09
5.049740400000000307e+01,1.636684599999999890e+01,4.106000000000000227e+02,1.662883428000000000e+09
5.049737499999999812e+01,1.636683199999999871e+01,4.106000000000000227e+02,1.662883429000000000e+09
5.049734800000000234e+01,1.636682199999999909e+01,4.106999999999999886e+02,1.662883430000000000e+09
5.049732499999999646e+01,1.636681099999999844e+01,4.106999999999999886e+02,1.662883431000000000e+09
5.049729500000000115e+01,1.636679799999999929e+01,4.106999999999999886e+02,1.662883432000000000e+09
5.049727200000000238e+01,1.636678099999999958e+01,4.108000000000000114e+02,1.662883433000000000e+09
5.049725000000000108e+01,1.636676699999999940e+01,4.108000000000000114e+02,1.662883434000000000e+09
5.049722400000000277e+01,1.636674999999999969e+01,4.108000000000000114e+02,1.662883435000000000e+09
5.049719300000000288e+01,1.636672899999999942e+01,4.108999999999999773e+02,1.662883436000000000e+09
5.049716399999999794e+01,1.636671199999999970e+01,4.108999999999999773e+02,1.662883437000000000e+09
5.049713899999999711e+01,1.636669900000000055e+01,4.108999999999999773e+02,1.662883438000000000e+09
5.049711400000000339e+01,1.636668500000000037e+01,4.110000000000000000e+02,1.662883439000000000e+09
5.049708900000000256e+01,1.636667299999999869e+01,4.110000000000000000e+02,1.662883440000000000e+09
5.049705399999999855e+01,1.636665999999999954e+01,4.111000000000000227e+02,1.662883441000000000e+09
5.049701799999999707e+01,1.636664400000000086e+01,4.111000000000000227e+02,1.662883442000000000e+09
5.049698800000000176e+01,1.636662300000000059e+01,4.111999999999999886e+02,1.662883443000000000e+09
5.049695899999999682e+01,1.636659900000000079e+01,4.111999999999999886e+02,1.662883444000000000e+09
5.049693400000000310e+01,1.636657800000000051e+01,4.113000000000000114e+02,1.662883445000000000e+09
5.049691700000000338e+01,1.636656299999999931e+01,4.113000000000000114e+02,1.662883446000000000e+09
5.049688700000000097e+01,1.636654300000000006e+01,4.113999999999999773e+02,1.662883447000000000e+09
5.049685999999999808e+01,1.636653000000000091e+01,4.115000000000000000e+02,1.662883448000000000e+09
5.049683000000000277e+01,1.636651700000000176e+01,4.116000000000000227e+02,1.662883449000000000e+09
